"Lat","Lon","Biome","Hemisphere","Mean","SD"
-58.5,-103.5,"marine","Southern",5.3118,0.804511
-58.5,-102.5,"marine","Southern",5.35072,0.799373
-58.5,-101.5,"marine","Southern",5.3828,0.796102
-58.5,-100.5,"marine","Southern",5.40755,0.796632
-58.5,-99.5,"marine","Southern",5.42498,0.800854
-58.5,-98.5,"marine","Southern",5.43414,0.809027
-58.5,-97.5,"marine","Southern",5.43505,0.820987
-58.5,-96.5,"marine","Southern",5.434,0.832363
-58.5,-95.5,"marine","Southern",5.43099,0.843244
-58.5,-94.5,"marine","Southern",5.44047,0.851635
-58.5,-93.5,"marine","Southern",5.46243,0.85731
-58.5,-92.5,"marine","Southern",5.49482,0.862435
-58.5,-91.5,"marine","Southern",5.53763,0.867029
-58.5,-90.5,"marine","Southern",5.58155,0.873794
-58.5,-89.5,"marine","Southern",5.62658,0.882809
-58.5,-88.5,"marine","Southern",5.66828,0.889448
-58.5,-87.5,"marine","Southern",5.70665,0.893598
-58.5,-86.5,"marine","Southern",5.73977,0.893833
-58.5,-85.5,"marine","Southern",5.76763,0.890049
-58.5,-84.5,"marine","Southern",5.78959,0.88674
-58.5,-83.5,"marine","Southern",5.80564,0.884025
-58.5,-82.5,"marine","Southern",5.81946,0.88383
-58.5,-81.5,"marine","Southern",5.83106,0.886153
-58.5,-80.5,"marine","Southern",5.84593,0.889984
-58.5,-79.5,"marine","Southern",5.86407,0.895627
-58.5,-78.5,"marine","Southern",5.8757,0.901738
-58.5,-77.5,"marine","Southern",5.88082,0.908124
-58.5,-76.5,"marine","Southern",5.88141,0.913567
-58.5,-75.5,"marine","Southern",5.87749,0.918074
-58.5,-74.5,"marine","Southern",5.87243,0.924029
-58.5,-73.5,"marine","Southern",5.86623,0.931522
-58.5,-72.5,"marine","Southern",5.82828,0.942423
-58.5,-71.5,"marine","Southern",5.75858,0.956735
-58.5,-70.5,"marine","Southern",5.62381,0.973824
-58.5,-69.5,"marine","Southern",5.42396,0.993663
-58.5,-68.5,"marine","Southern",5.1726,1.0162
-58.5,-67.5,"marine","Southern",4.86973,1.04148
-58.5,-66.5,"marine","Southern",4.55894,1.06616
-58.5,-65.5,"marine","Southern",4.24025,1.09023
-58.5,-64.5,"marine","Southern",3.95504,1.11133
-58.5,-63.5,"marine","Southern",3.70332,1.12937
-58.5,-62.5,"marine","Southern",3.48999,1.14337
-58.5,-61.5,"marine","Southern",3.31507,1.15331
-58.5,-60.5,"marine","Southern",3.14852,1.15963
-58.5,-59.5,"marine","Southern",2.99036,1.16255
-58.5,-58.5,"marine","Southern",2.82678,1.16282
-58.5,-57.5,"marine","Southern",2.65779,1.16016
-58.5,-56.5,"marine","Southern",2.49054,1.15654
-58.5,-55.5,"marine","Southern",2.32504,1.15214
-58.5,-54.5,"marine","Southern",2.16992,1.15097
-58.5,-53.5,"marine","Southern",2.02519,1.1532
-58.5,-52.5,"marine","Southern",1.88777,1.15921
-58.5,-51.5,"marine","Southern",1.75766,1.16934
-58.5,-50.5,"marine","Southern",1.62903,1.17483
-58.5,-49.5,"marine","Southern",1.5019,1.17525
-58.5,-48.5,"marine","Southern",1.38192,1.17129
-58.5,-47.5,"marine","Southern",1.26909,1.16324
-58.5,-46.5,"marine","Southern",1.15876,1.16016
-58.5,-45.5,"marine","Southern",1.05092,1.16194
-58.5,-44.5,"marine","Southern",0.942736,1.15863
